formula,method,return,return,length,length
,,mean,std,mean,std
!(region_a | door) U (vase & region_b),deep_ltl,0.9462890625,0.018419992644264457,163.42958984375,28.92152462517788
!(region_a | door) U (vase & region_b),ltl2action,0.5613839285714286,0.41250699300191707,169.73538643973214,13.659560013699613
!(region_a | door) U (vase & region_b),struct_ltl,0.9478515625,0.01641993683390226,143.74195251464843,10.97837954982946
!(vase | crate) U (region_a & F (door & F region_b)),deep_ltl,0.884375,0.06839222920814197,353.1173980712891,53.89444959328162
!(vase | crate) U (region_a & F (door & F region_b)),ltl2action,0.36216517857142855,0.3364591719695523,387.15484619140625,62.66182944604571
!(vase | crate) U (region_a & F (door & F region_b)),struct_ltl,0.7974609375,0.14789411345998682,371.1946136474609,33.754307621164926
!door U (region_a & (!vase U region_b)),deep_ltl,0.9865234375,0.030750263106160403,160.19879760742188,19.876779447244523
!door U (region_a & (!vase U region_b)),ltl2action,0.455078125,0.37716389562982655,346.1579132080078,135.52406318558238
!door U (region_a & (!vase U region_b)),struct_ltl,0.994140625,0.0065751985275794836,173.2228744506836,38.42036346984976
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),deep_ltl,0.664453125,0.33492382796744186,211.38114013671876,81.85722199259205
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),ltl2action,0.154296875,0.29231045833622576,378.1962890625,78.94900104087856
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),struct_ltl,0.9564453125,0.036817543108921,151.14305877685547,7.931676188862721
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),deep_ltl,0.667578125,0.305213999343027,151.30433197021483,32.62807633273935
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),ltl2action,0.4126674107142857,0.4247642226383001,220.7827911376953,76.43293096075438
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),struct_ltl,0.95390625,0.08845162394578085,139.54178314208986,10.084259463255844
(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),deep_ltl,0.569921875,0.26005150178935577,430.5440246582031,92.53725739892676
(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),ltl2action,0.12248883928571429,0.3163634758528576,573.2051086425781,101.04051313593226
(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),struct_ltl,0.840234375,0.1933096088454007,329.3162506103516,56.79834935879448
F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),deep_ltl,0.521484375,0.328418096196431,449.4425415039062,91.54630076195991
F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),ltl2action,0.06473214285714286,0.11064890441345573,613.3948974609375,113.25701104149148
F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),struct_ltl,0.8810546875,0.27363498882620535,300.0203460693359,35.2720004425013
F (region_a & F (crate & F region_b)),deep_ltl,0.9826171875,0.01236807828045904,196.5218704223633,7.85657239621111
F (region_a & F (crate & F region_b)),ltl2action,0.982421875,0.02174907954230475,226.30743190220423,18.679765262310067
F (region_a & F (crate & F region_b)),struct_ltl,0.986328125,0.012724492373497433,202.05331268310547,12.888409242447853
F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),deep_ltl,0.5787109375,0.40164369256255245,323.26305236816404,125.99656207793491
F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),ltl2action,0.625,0.44890160906639204,304.3236192975725,135.12749235222137
F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),struct_ltl,0.9703125,0.040267861267289415,193.25783081054686,22.886022433213057
F (vase & region_a & (region_a U (!vase & region_a))),deep_ltl,0.9123046875,0.10073468219183036,185.75047149658204,50.373905566105485
F (vase & region_a & (region_a U (!vase & region_a))),ltl2action,0.42466517857142855,0.4641975347040885,331.32759966169084,197.05039384816368
F (vase & region_a & (region_a U (!vase & region_a))),struct_ltl,0.994921875,0.0039278914398433356,126.82010421752929,5.726761528192582
