formula,method,return,return,length,length
,,mean,std,mean,std
F (vase & region_a & (region_a U (!vase & region_a))) & GF door & GF region_b,deep_ltl,2.3205078125,0.6024619068363664,990.4350769042969,22.291443169334404
F (vase & region_a & (region_a U (!vase & region_a))) & GF door & GF region_b,struct_ltl,3.1912109375,0.2928058719687785,995.4047546386719,12.527225365104274
F (vase & region_b & (region_b U (!vase & region_b))) & FG region_b,deep_ltl,433.898828125,257.9007810940664,750.9640808105469,289.19693299939973
F (vase & region_b & (region_b U (!vase & region_b))) & FG region_b,struct_ltl,656.7888671875,249.07150844652205,810.7438293457031,252.78682421842268
FG (crate & region_a),deep_ltl,650.8703125,320.3108225764322,788.8344619750976,318.078627905346
FG (crate & region_a),struct_ltl,682.6212890625,215.4849186344681,815.0828216552734,218.58482281140255
FG (vase & region_b) & G!region_a & G!crate,deep_ltl,219.2244140625,299.83714349611296,580.2405815124512,308.0277644495913
FG (vase & region_b) & G!region_a & G!crate,struct_ltl,351.4267578125,207.40705014776438,596.2700042724609,271.16127971939545
FG crate & G (vase => F (door & !crate)),deep_ltl,575.4341796875,300.7804052807769,668.5227203369141,313.1132994488092
FG crate & G (vase => F (door & !crate)),struct_ltl,857.8595703125,48.453270994719105,920.212158203125,52.02591515733604
FG region_a,deep_ltl,823.488671875,197.1285618695354,898.6200500488281,171.47858411971995
FG region_a,struct_ltl,880.5984375,55.704871350045366,948.0415344238281,56.99848092541839
G ((door | region_b) => F region_a) & FG (vase | crate),deep_ltl,783.715234375,194.55971245257493,935.134521484375,111.79033521965042
G ((door | region_b) => F region_a) & FG (vase | crate),struct_ltl,577.07109375,294.88098447960886,774.1860610961915,286.8269364276109
GF (vase & F !vase) & GF (crate & F !crate) & G !region_a,deep_ltl,13.8419921875,5.107411082385824,965.7914001464844,24.093424206351713
GF (vase & F !vase) & GF (crate & F !crate) & G !region_a,struct_ltl,15.9173828125,12.010968601307901,844.7649291992187,216.88832099108333
GF (vase & region_a & (region_a U (!vase & region_a))) & GF (crate & region_b & (region_b U (!crate & region_b))),deep_ltl,2.0671875,1.176582054143432,992.754931640625,8.186594888818576
GF (vase & region_a & (region_a U (!vase & region_a))) & GF (crate & region_b & (region_b U (!crate & region_b))),struct_ltl,3.9294921875,0.6427706712428659,989.7817260742188,7.140216941510088
GF region_a & GF region_b & GF door,deep_ltl,2.516015625,0.33031983363297973,982.7506591796875,36.10665598149357
GF region_a & GF region_b & GF door,struct_ltl,2.77890625,0.12061256322616695,994.5513244628906,13.538020187446405
