formula,method,metric,mean,ci_lower,ci_upper
!(region_a | door) U (vase & region_b),deep_ltl,return,0.9462890625,0.9353515625,0.95703125
!(region_a | door) U (vase & region_b),deep_ltl,length,163.42958984375,147.56841522216797,181.20384742736815
!(region_a | door) U (vase & region_b),ltl2action,return,0.5613839285714286,0.27622767857142855,0.806640625
!(region_a | door) U (vase & region_b),ltl2action,length,169.73538643973214,161.34151567731584,179.77335684640067
!(region_a | door) U (vase & region_b),struct_ltl,return,0.9478515625,0.93828125,0.9576171875
!(region_a | door) U (vase & region_b),struct_ltl,length,143.74195251464843,137.70119995117187,150.38727905273439
!(vase | crate) U (region_a & F (door & F region_b)),deep_ltl,return,0.884375,0.8396484375,0.9173828125
!(vase | crate) U (region_a & F (door & F region_b)),deep_ltl,length,353.1173980712891,326.3678680419922,388.466051864624
!(vase | crate) U (region_a & F (door & F region_b)),ltl2action,return,0.36216517857142855,0.14341517857142858,0.5943080357142857
!(vase | crate) U (region_a & F (door & F region_b)),ltl2action,length,387.15484619140625,347.65049525669644,433.2844674246652
!(vase | crate) U (region_a & F (door & F region_b)),struct_ltl,return,0.7974609375,0.702734375,0.8751953125
!(vase | crate) U (region_a & F (door & F region_b)),struct_ltl,length,371.1946136474609,352.5044385528564,391.9815906524658
!door U (region_a & (!vase U region_b)),deep_ltl,return,0.9865234375,0.9660107421875,0.9984375
!door U (region_a & (!vase U region_b)),deep_ltl,length,160.19879760742188,150.37458183288572,173.225458984375
!door U (region_a & (!vase U region_b)),ltl2action,return,0.455078125,0.2067243303571431,0.7103794642857143
!door U (region_a & (!vase U region_b)),ltl2action,length,346.1579132080078,249.27653401692723,439.3511756896972
!door U (region_a & (!vase U region_b)),struct_ltl,return,0.994140625,0.9900390625,0.99765625
!door U (region_a & (!vase U region_b)),struct_ltl,length,173.2228744506836,153.98891807556151,198.22796222686767
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),deep_ltl,return,0.664453125,0.4591796875,0.849609375
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),deep_ltl,length,211.38114013671876,170.1458406829834,265.60463966369633
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),ltl2action,return,0.154296875,0.013671875,0.38197544642857145
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),ltl2action,length,378.1962890625,314.1770935058594,466.4117736816406
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),struct_ltl,return,0.9564453125,0.93359375,0.9767578125
(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),struct_ltl,length,151.14305877685547,146.752734375,155.88755149841307
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),deep_ltl,return,0.667578125,0.4818359375,0.8396484375
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),deep_ltl,length,151.30433197021483,133.4196886062622,171.50150279998778
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),ltl2action,return,0.4126674107142857,0.13364955357142858,0.7246303013392854
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),ltl2action,length,220.7827911376953,167.8677215576172,280.2003224690755
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),struct_ltl,return,0.95390625,0.8962890625,0.9876953125
(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),struct_ltl,length,139.54178314208986,133.80378952026368,145.44330373764038
(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),deep_ltl,return,0.569921875,0.42108886718750005,0.7199267578124999
(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),deep_ltl,length,430.5440246582031,378.4749169158935,485.9279096221924
(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),ltl2action,return,0.12248883928571429,0.0005580357142857143,0.36244419642857145
