formula,method,return,return,length,length
,,mean,std,mean,std
FG purple & G !yellow,deep_ltl,467.83203125,123.41317002938736,633.245166015625,161.9636808860225
FG purple & G !yellow,struct_ltl,606.66875,82.93018324798996,728.3265502929687,94.50234370386309
FG red,deep_ltl,560.580078125,194.99142574359163,691.7640319824219,175.55577701769067
FG red,struct_ltl,633.328125,122.01938451873272,727.2867370605469,124.31929027818113
FG red & F (yellow & F green),deep_ltl,404.108984375,150.87894730087538,802.9491394042968,109.86595489863295
FG red & F (yellow & F green),struct_ltl,511.484375,70.50176005349607,804.1344543457031,90.05597457200335
G ((green | yellow) => F red) & FG (green | purple),deep_ltl,475.005859375,135.76610762651725,656.2554016113281,159.1547898320821
G ((green | yellow) => F red) & FG (green | purple),struct_ltl,624.439453125,93.83054648507533,734.3732086181641,102.41362827537903
GF red & GF green & GF yellow & G!purple,deep_ltl,1.5001953125,0.5434762706628009,981.8680053710938,26.37669991060465
GF red & GF green & GF yellow & G!purple,struct_ltl,2.8328125,0.3391810868530547,985.8322326660157,8.02069190590353
GF yellow & GF green,deep_ltl,4.7728515625,1.4143607277645722,994.740673828125,7.648999677427542
GF yellow & GF green,struct_ltl,6.72421875,0.8778889753298205,998.6895690917969,1.9638958411389502
