formula,method,metric,mean,ci_lower,ci_upper
FG purple & G !yellow,deep_ltl,return,467.83203125,393.81700195312504,535.9176123046874
FG purple & G !yellow,deep_ltl,length,633.245166015625,537.5456178283691,726.7142459106445
FG purple & G !yellow,struct_ltl,return,606.66875,552.4007373046875,649.6104052734376
FG purple & G !yellow,struct_ltl,length,728.3265502929687,668.6368623352051,779.8547479248048
FG red,deep_ltl,return,560.580078125,449.611826171875,674.952763671875
FG red,deep_ltl,length,691.7640319824219,593.3623556518554,796.7901483154296
FG red,struct_ltl,return,633.328125,565.9395068359376,706.7992431640624
FG red,struct_ltl,length,727.2867370605469,658.9623876953125,802.5590696716308
FG red & F (yellow & F green),deep_ltl,return,404.108984375,315.6021826171875,491.7609521484374
FG red & F (yellow & F green),deep_ltl,length,802.9491394042968,741.1035302734375,867.5949832153319
FG red & F (yellow & F green),struct_ltl,return,511.484375,471.4205078125,553.56529296875
FG red & F (yellow & F green),struct_ltl,length,804.1344543457031,752.9704101562501,857.4691883850097
G ((green | yellow) => F red) & FG (green | purple),deep_ltl,return,475.005859375,394.99193847656255,553.3082958984374
G ((green | yellow) => F red) & FG (green | purple),deep_ltl,length,656.2554016113281,562.4945712280274,747.8323135375977
G ((green | yellow) => F red) & FG (green | purple),struct_ltl,return,624.439453125,562.25296875,671.3817236328125
G ((green | yellow) => F red) & FG (green | purple),struct_ltl,length,734.3732086181641,668.3605428314208,788.2380207824707
GF red & GF green & GF yellow & G!purple,deep_ltl,return,1.5001953125,1.1794921875,1.8158203125
GF red & GF green & GF yellow & G!purple,deep_ltl,length,981.8680053710938,964.1255834960938,993.4360232543945
GF red & GF green & GF yellow & G!purple,struct_ltl,return,2.8328125,2.6294921875,3.0252001953125003
GF red & GF green & GF yellow & G!purple,struct_ltl,length,985.8322326660157,981.173630065918,990.5727973937989
GF yellow & GF green,deep_ltl,return,4.7728515625,3.9031152343750004,5.568173828125
GF yellow & GF green,deep_ltl,length,994.740673828125,989.8721348571778,998.7226440429688
GF yellow & GF green,struct_ltl,return,6.72421875,6.2193359375,7.2515966796875
GF yellow & GF green,struct_ltl,length,998.6895690917969,997.3604330444335,999.633544921875
