Method,Depth,Mean Return
struct_ltl,2,0.9886067708333334
struct_ltl,4,0.9804036458333334
struct_ltl,8,0.9249348958333333
struct_ltl,12,0.9427083333333334
genz_ltl,2,0.9142578124999999
genz_ltl,4,0.8771484374999999
genz_ltl,8,0.8497395833333333
genz_ltl,12,0.8468098958333333
deep_ltl,2,0.9886067708333334
deep_ltl,4,0.9867838541666666
deep_ltl,8,0.9166666666666666
deep_ltl,12,0.8654947916666668
ltl2action,2,0.986421130952381
ltl2action,4,0.9812127976190476
ltl2action,8,0.8570498511904763
ltl2action,12,0.8187313988095237
