env,finite,formula,method,metric,mean,ci_lower,ci_upper
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),deep_ltl,return,0.851171875,0.8095703125,0.8912158203124999
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),deep_ltl,length,201.8541488647461,185.88568756103516,219.07764724731445
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),genz_ltl,return,0.933984375,0.9255859375,0.943359375
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),genz_ltl,length,125.5554916381836,119.8911828994751,130.99553161621094
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),ltl2action,return,0.508984375,0.34216796875000016,0.6709033203124999
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),ltl2action,length,334.60370178222655,260.1639628982544,409.4497301101684
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),struct_ltl,return,0.9431640625,0.93203125,0.9541015625
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),struct_ltl,length,156.81210021972657,147.2929220199585,167.1126230621338
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),deep_ltl,return,0.9369140625,0.9166015625,0.955078125
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),deep_ltl,length,186.68724670410157,170.49902488708494,204.25071826934814
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),genz_ltl,return,0.9875,0.9826171875,0.9921875
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),genz_ltl,length,121.61339874267578,114.50755355834961,128.10676265716552
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),ltl2action,return,0.754296875,0.628515625,0.8648486328124999
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),ltl2action,length,289.928157043457,237.65023109436035,347.5550598526001
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),struct_ltl,return,0.9765625,0.969921875,0.9826171875
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),struct_ltl,length,139.8978416442871,132.78601131439208,147.0301950073242
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,deep_ltl,return,0.9591796875,0.9439453125,0.9740234375
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,deep_ltl,length,135.50097122192383,123.96317474365236,147.8275853729248
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,genz_ltl,return,0.99609375,0.99140625,0.99921875
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,genz_ltl,length,83.86684799194336,80.15571090698242,87.76821550369263
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,ltl2action,return,0.9142578125,0.881640625,0.9427734375
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,ltl2action,length,147.98163452148438,128.09702667236328,167.54246356964111
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,struct_ltl,return,0.97890625,0.966796875,0.9884765625
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,struct_ltl,length,102.80688552856445,96.61555543899536,108.28319192886353
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),deep_ltl,return,0.8720703125,0.844140625,0.8986328125
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),deep_ltl,length,275.6851287841797,251.98038833618165,300.20460510253906
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),genz_ltl,return,0.915625,0.9078125,0.9232421875
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),genz_ltl,length,178.58931579589844,168.7175308227539,187.19700763702392
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),ltl2action,return,0.1837890625,0.1099609375,0.28477050781249996
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),ltl2action,length,441.61109313964846,387.40582885742185,488.5447014617919
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),struct_ltl,return,0.93046875,0.920703125,0.9390625
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),struct_ltl,length,222.012109375,212.0655141067505,231.65084049224853
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,deep_ltl,return,0.8798828125,0.8578125,0.9025390625
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,deep_ltl,length,291.01003112792966,276.54969406127935,305.6241770172119
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,genz_ltl,return,0.48984375,0.4740234375,0.5078125
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,genz_ltl,length,180.4550003051758,167.3366270828247,191.80116012573242
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,ltl2action,return,0.2783203125,0.1517578125,0.40918457031249994
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,ltl2action,length,450.2347839355469,391.6769579315186,508.18990234374996
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,struct_ltl,return,0.94375,0.927734375,0.9576171875
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,struct_ltl,length,238.01378631591797,225.00595314025878,251.62610340118408
ZoneEnvComplex,True,F (red | green) & F yellow & F purple,deep_ltl,return,0.9630859375,0.9498046875,0.97578125
ZoneEnvComplex,True,F (red | green) & F yellow & F purple,deep_ltl,length,257.5569702148438,240.1460266494751,279.7053831863403
ZoneEnvComplex,True,F (red | green) & F yellow & F purple,genz_ltl,return,0.9708984375,0.9357275390625002,1.0
ZoneEnvComplex,True,F (red | green) & F yellow & F purple,genz_ltl,length,188.19884796142577,162.51258621215823,218.26053161621095
ZoneEnvComplex,True,F (red | green) & F yellow & F purple,ltl2action,return,0.587890625,0.4419921875,0.736328125
ZoneEnvComplex,True,F (red | green) & F yellow & F purple,ltl2action,length,421.1861602783203,376.76737037658694,461.1345350646973
ZoneEnvComplex,True,F (red | green) & F yellow & F purple,struct_ltl,return,0.9900390625,0.98359375,0.995703125
ZoneEnvComplex,True,F (red | green) & F yellow & F purple,struct_ltl,length,193.4717987060547,182.13463092803954,205.87525108337402
ZoneEnvComplex,True,F (yellow | purple | red) & (!yellow U green),deep_ltl,return,0.8857421875,0.860546875,0.9072265625
ZoneEnvComplex,True,F (yellow | purple | red) & (!yellow U green),deep_ltl,length,179.56317901611328,164.62918697357176,194.57787651062011
ZoneEnvComplex,True,F (yellow | purple | red) & (!yellow U green),genz_ltl,return,0.6525390625,0.6408203125,0.666015625
ZoneEnvComplex,True,F (yellow | purple | red) & (!yellow U green),genz_ltl,length,111.91384887695312,103.84172134399414,119.09312412261963
ZoneEnvComplex,True,F (yellow | purple | red) & (!yellow U green),ltl2action,return,0.3505859375,0.2568359375,0.4544970703124999
ZoneEnvComplex,True,F (yellow | purple | red) & (!yellow U green),ltl2action,length,191.9875343322754,152.32369052886963,237.2623255348205
ZoneEnvComplex,True,F (yellow | purple | red) & (!yellow U green),struct_ltl,return,0.9431640625,0.9310546875,0.955078125
ZoneEnvComplex,True,F (yellow | purple | red) & (!yellow U green),struct_ltl,length,125.6358528137207,120.97510816574096,130.9023681640625
ZoneEnvComplex,True,F purple & F green & F yellow & F red,deep_ltl,return,0.7765625,0.72890625,0.8271533203124999
ZoneEnvComplex,True,F purple & F green & F yellow & F red,deep_ltl,length,333.4859222412109,315.16645721435543,350.661177444458
ZoneEnvComplex,True,F purple & F green & F yellow & F red,genz_ltl,return,0.51484375,0.496875,0.53125
ZoneEnvComplex,True,F purple & F green & F yellow & F red,genz_ltl,length,226.99785614013672,208.5678497695923,243.07256576538083
ZoneEnvComplex,True,F purple & F green & F yellow & F red,ltl2action,return,0.34765625,0.21484375,0.49297363281249995
ZoneEnvComplex,True,F purple & F green & F yellow & F red,ltl2action,length,566.3082885742188,530.1532489013672,603.9274098205567
ZoneEnvComplex,True,F purple & F green & F yellow & F red,struct_ltl,return,0.9228515625,0.8990234375,0.9451171875
ZoneEnvComplex,True,F purple & F green & F yellow & F red,struct_ltl,length,276.07256774902345,260.0779881668091,293.0519034194946
ZoneEnvComplex,False,F ((red | purple) & F yellow) & GF green & GF red,deep_ltl,return,2.4306640625,1.5818115234375,3.2693359375
ZoneEnvComplex,False,F ((red | purple) & F yellow) & GF green & GF red,deep_ltl,length,997.1879089355468,994.9861547851563,998.9249206542969
ZoneEnvComplex,False,F ((red | purple) & F yellow) & GF green & GF red,genz_ltl,return,4.102734375,3.7384765625,4.484375
ZoneEnvComplex,False,F ((red | purple) & F yellow) & GF green & GF red,genz_ltl,length,991.7160766601562,986.293483581543,996.4653015136719
ZoneEnvComplex,False,F ((red | purple) & F yellow) & GF green & GF red,struct_ltl,return,4.5544921875,4.1343701171875,5.0341845703125
ZoneEnvComplex,False,F ((red | purple) & F yellow) & GF green & GF red,struct_ltl,length,998.7992736816407,997.7111688232422,999.675146484375
ZoneEnvComplex,False,F (purple & F (green | red)) & FG yellow,deep_ltl,return,361.99296875,284.3387255859375,435.3607080078125
ZoneEnvComplex,False,F (purple & F (green | red)) & FG yellow,deep_ltl,length,831.7598876953125,786.5318522644043,878.3132769775391
ZoneEnvComplex,False,F (purple & F (green | red)) & FG yellow,genz_ltl,return,191.4201171875,130.929267578125,256.062373046875
ZoneEnvComplex,False,F (purple & F (green | red)) & FG yellow,genz_ltl,length,448.6648742675781,359.38125015258794,541.9938957214355
ZoneEnvComplex,False,F (purple & F (green | red)) & FG yellow,struct_ltl,return,491.31484375,399.546142578125,574.9330712890625
ZoneEnvComplex,False,F (purple & F (green | red)) & FG yellow,struct_ltl,length,809.6591857910156,738.1662406921387,873.4981008911133
ZoneEnvComplex,False,F (red & F (green | purple)) & G (red => F (green & F yellow)) & G (yellow => F (red)),deep_ltl,return,2.30546875,1.935546875,2.7185595703125003
ZoneEnvComplex,False,F (red & F (green | purple)) & G (red => F (green & F yellow)) & G (yellow => F (red)),deep_ltl,length,994.2919494628907,990.1065814208985,997.7238424682618
ZoneEnvComplex,False,F (red & F (green | purple)) & G (red => F (green & F yellow)) & G (yellow => F (red)),genz_ltl,return,2.7798828125,2.688671875,2.87890625
ZoneEnvComplex,False,F (red & F (green | purple)) & G (red => F (green & F yellow)) & G (yellow => F (red)),genz_ltl,length,828.3712280273437,746.0239891052247,907.4066296386717
ZoneEnvComplex,False,F (red & F (green | purple)) & G (red => F (green & F yellow)) & G (yellow => F (red)),struct_ltl,return,3.1869140625,2.69375,3.6008154296874992
ZoneEnvComplex,False,F (red & F (green | purple)) & G (red => F (green & F yellow)) & G (yellow => F (red)),struct_ltl,length,991.1230407714844,981.5574732971191,998.2919386291504
ZoneEnvComplex,False,FG purple & G !yellow,deep_ltl,return,546.216015625,441.626943359375,650.062890625
ZoneEnvComplex,False,FG purple & G !yellow,deep_ltl,length,716.1418273925781,632.5233154296875,799.2586160278321
ZoneEnvComplex,False,FG purple & G !yellow,genz_ltl,return,407.3056640625,316.415,504.4035839843749
ZoneEnvComplex,False,FG purple & G !yellow,genz_ltl,length,489.835221862793,396.3546558761597,588.8342378616333
ZoneEnvComplex,False,FG purple & G !yellow,struct_ltl,return,651.1515625,569.1636132812499,724.7557763671875
ZoneEnvComplex,False,FG purple & G !yellow,struct_ltl,length,785.3272888183594,699.3344659423828,862.7991271972656
ZoneEnvComplex,False,FG red,deep_ltl,return,563.0791015625,497.58085937500005,618.8177978515624
ZoneEnvComplex,False,FG red,deep_ltl,length,693.0065673828125,619.2785061645508,759.5389152526856
ZoneEnvComplex,False,FG red,genz_ltl,return,411.5697265625,315.02016113281246,512.7117138671874
ZoneEnvComplex,False,FG red,genz_ltl,length,470.32081604003906,375.27886825561524,568.5518412780762
ZoneEnvComplex,False,FG red,struct_ltl,return,646.2560546875,598.3617431640625,701.2928857421874
ZoneEnvComplex,False,FG red,struct_ltl,length,748.6755615234375,702.4490519714356,800.4561740112305
ZoneEnvComplex,False,FG red & F (yellow & F green),deep_ltl,return,356.1384765625,309.95212890625004,398.8348681640625
ZoneEnvComplex,False,FG red & F (yellow & F green),deep_ltl,length,804.7593017578125,762.5865808105468,849.2031661987304
ZoneEnvComplex,False,FG red & F (yellow & F green),genz_ltl,return,332.51875,255.37504882812502,410.52054199218753
ZoneEnvComplex,False,FG red & F (yellow & F green),genz_ltl,length,555.9079772949219,477.43899726867676,633.9323629760742
ZoneEnvComplex,False,FG red & F (yellow & F green),struct_ltl,return,465.4767578125,424.61638183593755,510.33120605468747
ZoneEnvComplex,False,FG red & F (yellow & F green),struct_ltl,length,824.7641052246094,785.3916387939453,865.6262965393066
ZoneEnvComplex,False,G ((green | yellow) => F red) & FG (green | purple),deep_ltl,return,527.4955078125,411.8260498046875,638.5219628906249
ZoneEnvComplex,False,G ((green | yellow) => F red) & FG (green | purple),deep_ltl,length,729.5446228027344,653.0745753479005,806.3314347839355
ZoneEnvComplex,False,G ((green | yellow) => F red) & FG (green | purple),genz_ltl,return,374.1634765625,296.0931494140625,458.3698291015625
ZoneEnvComplex,False,G ((green | yellow) => F red) & FG (green | purple),genz_ltl,length,484.7100296020508,397.76345012664797,577.7919034576415
ZoneEnvComplex,False,G ((green | yellow) => F red) & FG (green | purple),struct_ltl,return,672.3900390625,589.9185791015625,744.7916552734375
ZoneEnvComplex,False,G ((green | yellow) => F red) & FG (green | purple),struct_ltl,length,788.0258422851563,704.6521789550782,860.4177815246582
ZoneEnvComplex,False,GF red & GF green & GF yellow,deep_ltl,return,2.16328125,1.7990234375,2.5363378906249996
ZoneEnvComplex,False,GF red & GF green & GF yellow,deep_ltl,length,995.9544860839844,993.7919551086426,997.9792906188965
ZoneEnvComplex,False,GF red & GF green & GF yellow,genz_ltl,return,4.43984375,4.2206982421875,4.6921923828125
ZoneEnvComplex,False,GF red & GF green & GF yellow,genz_ltl,length,954.0572082519532,927.8371421813965,977.8271072387696
ZoneEnvComplex,False,GF red & GF green & GF yellow,struct_ltl,return,3.07578125,2.925,3.2330078125
ZoneEnvComplex,False,GF red & GF green & GF yellow,struct_ltl,length,997.0484802246094,994.880821685791,998.8476606750488
WarehouseEnv,True,!(region_a | door) U (vase & region_b),deep_ltl,return,0.9462890625,0.9353515625,0.95703125
WarehouseEnv,True,!(region_a | door) U (vase & region_b),deep_ltl,length,163.42958984375,147.56841522216797,181.20384742736815
WarehouseEnv,True,!(region_a | door) U (vase & region_b),genz_ltl,return,0.841015625,0.650390625,0.9427734375
WarehouseEnv,True,!(region_a | door) U (vase & region_b),genz_ltl,length,157.2461225721571,147.92094082302518,167.90786264207625
WarehouseEnv,True,!(region_a | door) U (vase & region_b),ltl2action,return,0.5613839285714286,0.27622767857142855,0.806640625
WarehouseEnv,True,!(region_a | door) U (vase & region_b),ltl2action,length,169.73538643973214,161.34151567731584,179.77335684640067
WarehouseEnv,True,!(region_a | door) U (vase & region_b),struct_ltl,return,0.9478515625,0.93828125,0.9576171875
WarehouseEnv,True,!(region_a | door) U (vase & region_b),struct_ltl,length,143.74195251464843,137.70119995117187,150.38727905273439
WarehouseEnv,True,!(vase | crate) U (region_a & F (door & F region_b)),deep_ltl,return,0.884375,0.8396484375,0.9173828125
WarehouseEnv,True,!(vase | crate) U (region_a & F (door & F region_b)),deep_ltl,length,353.1173980712891,326.3678680419922,388.466051864624
WarehouseEnv,True,!(vase | crate) U (region_a & F (door & F region_b)),genz_ltl,return,0.9263671875,0.880078125,0.9675830078124998
WarehouseEnv,True,!(vase | crate) U (region_a & F (door & F region_b)),genz_ltl,length,349.754638671875,332.0976584625244,367.08092117309565
WarehouseEnv,True,!(vase | crate) U (region_a & F (door & F region_b)),ltl2action,return,0.36216517857142855,0.14341517857142858,0.5943080357142857
WarehouseEnv,True,!(vase | crate) U (region_a & F (door & F region_b)),ltl2action,length,387.15484619140625,347.65049525669644,433.2844674246652
WarehouseEnv,True,!(vase | crate) U (region_a & F (door & F region_b)),struct_ltl,return,0.7974609375,0.702734375,0.8751953125
WarehouseEnv,True,!(vase | crate) U (region_a & F (door & F region_b)),struct_ltl,length,371.1946136474609,352.5044385528564,391.9815906524658
WarehouseEnv,True,!door U (region_a & (!vase U region_b)),deep_ltl,return,0.9865234375,0.9660107421875,0.9984375
WarehouseEnv,True,!door U (region_a & (!vase U region_b)),deep_ltl,length,160.19879760742188,150.37458183288572,173.225458984375
WarehouseEnv,True,!door U (region_a & (!vase U region_b)),genz_ltl,return,0.9080078125,0.7765625,0.987109375
WarehouseEnv,True,!door U (region_a & (!vase U region_b)),genz_ltl,length,179.17407684326173,162.664188041687,196.340428314209
WarehouseEnv,True,!door U (region_a & (!vase U region_b)),ltl2action,return,0.455078125,0.2067243303571431,0.7103794642857143
WarehouseEnv,True,!door U (region_a & (!vase U region_b)),ltl2action,length,346.1579132080078,249.27653401692723,439.3511756896972
WarehouseEnv,True,!door U (region_a & (!vase U region_b)),struct_ltl,return,0.994140625,0.9900390625,0.99765625
WarehouseEnv,True,!door U (region_a & (!vase U region_b)),struct_ltl,length,173.2228744506836,153.98891807556151,198.22796222686767
WarehouseEnv,True,(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),deep_ltl,return,0.664453125,0.4591796875,0.849609375
WarehouseEnv,True,(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),deep_ltl,length,211.38114013671876,170.1458406829834,265.60463966369633
WarehouseEnv,True,(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),genz_ltl,return,0.714453125,0.4765478515625001,0.9160400390624996
WarehouseEnv,True,(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),genz_ltl,length,169.0026380750868,153.9547861311171,191.2976941426595
WarehouseEnv,True,(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),ltl2action,return,0.154296875,0.013671875,0.38197544642857145
WarehouseEnv,True,(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),ltl2action,length,378.1962890625,314.1770935058594,466.4117736816406
WarehouseEnv,True,(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),struct_ltl,return,0.9564453125,0.93359375,0.9767578125
WarehouseEnv,True,(crate => (!(region_a | region_b)) U door) U (vase & door & (door U (!vase & door))),struct_ltl,length,151.14305877685547,146.752734375,155.88755149841307
WarehouseEnv,True,(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),deep_ltl,return,0.667578125,0.4818359375,0.8396484375
WarehouseEnv,True,(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),deep_ltl,length,151.30433197021483,133.4196886062622,171.50150279998778
WarehouseEnv,True,(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),genz_ltl,return,0.060546875,0.017578125,0.11484375
WarehouseEnv,True,(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),genz_ltl,length,210.02778148651123,148.09984147548678,271.0704611778259
WarehouseEnv,True,(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),ltl2action,return,0.4126674107142857,0.13364955357142858,0.7246303013392854
WarehouseEnv,True,(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),ltl2action,length,220.7827911376953,167.8677215576172,280.2003224690755
WarehouseEnv,True,(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),struct_ltl,return,0.95390625,0.8962890625,0.9876953125
WarehouseEnv,True,(crate => (crate U region_b)) U (crate & region_b & (region_b U (!crate & region_b))),struct_ltl,length,139.54178314208986,133.80378952026368,145.44330373764038
WarehouseEnv,True,(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),deep_ltl,return,0.569921875,0.42108886718750005,0.7199267578124999
WarehouseEnv,True,(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),deep_ltl,length,430.5440246582031,378.4749169158935,485.9279096221924
WarehouseEnv,True,(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),genz_ltl,return,0.7408203125,0.5259765625,0.910546875
WarehouseEnv,True,(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),genz_ltl,length,338.4754808213976,313.74473927815757,368.5449435763889
WarehouseEnv,True,(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),ltl2action,return,0.12248883928571429,0.0005580357142857143,0.36244419642857145
WarehouseEnv,True,(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),ltl2action,length,573.2051086425781,497.7581481933594,688.0
WarehouseEnv,True,(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),struct_ltl,return,0.840234375,0.7181591796875,0.9429736328124999
WarehouseEnv,True,(vase => (vase U door)) U (F (crate & region_b & (region_b U (!crate & region_b))) & F (vase & door & (door U (!vase & door)))),struct_ltl,length,329.3162506103516,298.9146331787109,364.81407249450683
WarehouseEnv,True,F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),deep_ltl,return,0.521484375,0.3326123046875001,0.7123095703124999
WarehouseEnv,True,F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),deep_ltl,length,449.4425415039062,395.5435541534424,502.23281204223633
WarehouseEnv,True,F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),genz_ltl,return,0.7365234375,0.5122998046875,0.9177734375
WarehouseEnv,True,F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),genz_ltl,length,339.27528211805554,306.53782560560444,380.42201902601454
WarehouseEnv,True,F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),ltl2action,return,0.06473214285714286,0.00027901785714285713,0.14202008928571427
WarehouseEnv,True,F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),ltl2action,length,613.3948974609375,488.0,708.251953125
WarehouseEnv,True,F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),struct_ltl,return,0.8810546875,0.7025341796875,0.9806640625
WarehouseEnv,True,F (crate & region_a & (region_a U (!crate & region_a))) & F (vase & door & (door U (!vase & door))),struct_ltl,length,300.0203460693359,283.2214748382569,323.38492500305176
WarehouseEnv,True,F (region_a & F (crate & F region_b)),deep_ltl,return,0.9826171875,0.9751953125,0.98984375
WarehouseEnv,True,F (region_a & F (crate & F region_b)),deep_ltl,length,196.5218704223633,191.9339533996582,201.10146850585937
WarehouseEnv,True,F (region_a & F (crate & F region_b)),genz_ltl,return,0.98671875,0.9802734375,0.992578125
WarehouseEnv,True,F (region_a & F (crate & F region_b)),genz_ltl,length,221.39578399658203,213.11330963134765,229.9286102294922
WarehouseEnv,True,F (region_a & F (crate & F region_b)),ltl2action,return,0.982421875,0.9667898995535715,0.9958147321428571
WarehouseEnv,True,F (region_a & F (crate & F region_b)),ltl2action,length,226.30743190220423,213.74473789760046,238.85505240304127
WarehouseEnv,True,F (region_a & F (crate & F region_b)),struct_ltl,return,0.986328125,0.9783203125,0.9931640625
WarehouseEnv,True,F (region_a & F (crate & F region_b)),struct_ltl,length,202.05331268310547,195.3964021682739,210.37022197723388
WarehouseEnv,True,F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),deep_ltl,return,0.5787109375,0.3353515625,0.8080078125
WarehouseEnv,True,F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),deep_ltl,length,323.26305236816404,254.4530020904541,404.7028983306884
WarehouseEnv,True,F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),genz_ltl,return,0.777734375,0.48866699218750004,0.9771484375
WarehouseEnv,True,F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),genz_ltl,length,202.02001783582898,193.49235882229274,210.04537794325086
WarehouseEnv,True,F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),ltl2action,return,0.625,0.30775669642857145,0.9026227678571429
WarehouseEnv,True,F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),ltl2action,length,304.3236192975725,225.78418622698103,405.9339272635324
WarehouseEnv,True,F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),struct_ltl,return,0.9703125,0.94296875,0.9884765625
WarehouseEnv,True,F (vase & crate & region_b & (region_b U (!vase & !crate & region_b))),struct_ltl,length,193.25783081054686,183.2267444229126,208.5633966064453
WarehouseEnv,True,F (vase & region_a & (region_a U (!vase & region_a))),deep_ltl,return,0.9123046875,0.85,0.9671875
WarehouseEnv,True,F (vase & region_a & (region_a U (!vase & region_a))),deep_ltl,length,185.75047149658204,158.1381527709961,216.5465357208252
WarehouseEnv,True,F (vase & region_a & (region_a U (!vase & region_a))),genz_ltl,return,0.7978515625,0.5017578125,0.9966796875
WarehouseEnv,True,F (vase & region_a & (region_a U (!vase & region_a))),genz_ltl,length,201.3941913180881,136.75778128306072,290.20703972710504
WarehouseEnv,True,F (vase & region_a & (region_a U (!vase & region_a))),ltl2action,return,0.42466517857142855,0.14227818080357163,0.7466517857142857
WarehouseEnv,True,F (vase & region_a & (region_a U (!vase & region_a))),ltl2action,length,331.32759966169084,211.63954162597656,467.5390886579241
WarehouseEnv,True,F (vase & region_a & (region_a U (!vase & region_a))),struct_ltl,return,0.994921875,0.992578125,0.9970703125
WarehouseEnv,True,F (vase & region_a & (region_a U (!vase & region_a))),struct_ltl,length,126.82010421752929,123.54289398193359,130.23077501296996
WarehouseEnv,False,F (vase & region_a & (region_a U (!vase & region_a))) & GF door & GF region_b,deep_ltl,return,2.3205078125,1.9462890625,2.64140625
WarehouseEnv,False,F (vase & region_a & (region_a U (!vase & region_a))) & GF door & GF region_b,deep_ltl,length,990.4350769042969,975.9261027526856,999.2775495910644
WarehouseEnv,False,F (vase & region_a & (region_a U (!vase & region_a))) & GF door & GF region_b,genz_ltl,return,2.271875,1.448046875,2.8994140625
WarehouseEnv,False,F (vase & region_a & (region_a U (!vase & region_a))) & GF door & GF region_b,genz_ltl,length,997.8407389322916,995.1352340698243,999.512654791938
WarehouseEnv,False,F (vase & region_a & (region_a U (!vase & region_a))) & GF door & GF region_b,struct_ltl,return,3.1912109375,3.0197265625,3.3642675781249998
WarehouseEnv,False,F (vase & region_a & (region_a U (!vase & region_a))) & GF door & GF region_b,struct_ltl,length,995.4047546386719,986.168212890625,1000.9999816894531
WarehouseEnv,False,F (vase & region_b & (region_b U (!vase & region_b))) & FG region_b,deep_ltl,return,433.898828125,281.4975830078125,580.7843164062499
WarehouseEnv,False,F (vase & region_b & (region_b U (!vase & region_b))) & FG region_b,deep_ltl,length,750.9640808105469,573.8931182098389,909.4655210876465
WarehouseEnv,False,F (vase & region_b & (region_b U (!vase & region_b))) & FG region_b,genz_ltl,return,114.7265625,66.611689453125,163.815361328125
