env,finite,formula,method,metric,mean,ci_lower,ci_upper
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),genz_ltl,return,0.9369140625,0.92734375,0.94609375
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),genz_ltl,violations,0.024609375,0.018359375,0.0322265625
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),struct_ltl,return,0.93984375,0.9244140625,0.9533203125
ZoneEnvComplex,True,!(purple | yellow) U (red & F green),struct_ltl,violations,0.03125,0.0224609375,0.043359375
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),genz_ltl,return,0.990625,0.98671875,0.9939453125
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),genz_ltl,violations,0.008984375,0.005859375,0.0126953125
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),struct_ltl,return,0.9736328125,0.9650390625,0.9806640625
ZoneEnvComplex,True,!green U ((red | purple) & (!green U yellow)),struct_ltl,violations,0.01640625,0.010546875,0.023046875
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,genz_ltl,return,0.9970703125,0.9943359375,0.99921875
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,genz_ltl,violations,0.0009765625,0.0001953125,0.0017578125
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,struct_ltl,return,0.9830078125,0.9779296875,0.9875
ZoneEnvComplex,True,((green | red) => (!yellow U purple)) U yellow,struct_ltl,violations,0.001953125,0.00078125,0.003125
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),genz_ltl,return,0.915625,0.9078125,0.9232421875
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),genz_ltl,violations,0.0458984375,0.0287109375,0.0642578125
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),struct_ltl,return,0.93046875,0.920703125,0.9390625
ZoneEnvComplex,True,(F red) & (!red U (green & F yellow)),struct_ltl,violations,0.029296875,0.0205078125,0.037890625
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,genz_ltl,return,0.49140625,0.4775390625,0.5046875
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,genz_ltl,violations,0.0,0.0,0.0
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,struct_ltl,return,0.9439453125,0.929296875,0.9576171875
ZoneEnvComplex,True,F (green & (!red U yellow)) & F purple,struct_ltl,violations,0.0,0.0,0.0
